"","date","station","sensor","depth","airavg"
"37","2022-06-22","TNHA","TNHA-BASE","1",6.59381944444444
"38","2022-06-23","TNHA","TNHA-BASE","1",6.44948263888889
"39","2022-06-24","TNHA","TNHA-BASE","1",6.58389583333333
"40","2022-06-25","TNHA","TNHA-BASE","1",8.42750347222222
"41","2022-06-26","TNHA","TNHA-BASE","1",13.7939548611111
"42","2022-06-27","TNHA","TNHA-BASE","1",13.7519618055556
"43","2022-06-28","TNHA","TNHA-BASE","1",7.97017013888889
"44","2022-06-29","TNHA","TNHA-BASE","1",9.17138888888889
"45","2022-06-30","TNHA","TNHA-BASE","1",8.80376233183856
"46","2022-07-01","TNHA","TNHA-BASE","1",8.3189375
"47","2022-07-02","TNHA","TNHA-BASE","1",6.19822916666667
"48","2022-07-03","TNHA","TNHA-BASE","1",5.65452083333333
"49","2022-07-04","TNHA","TNHA-BASE","1",4.31395833333333
"50","2022-07-05","TNHA","TNHA-BASE","1",4.372125
"51","2022-07-06","TNHA","TNHA-BASE","1",8.65722916666667
"52","2022-07-07","TNHA","TNHA-BASE","1",7.23
"53","2022-07-08","TNHA","TNHA-BASE","1",4.3944375
"54","2022-07-09","TNHA","TNHA-BASE","1",7.26345833333333
"55","2022-07-10","TNHA","TNHA-BASE","1",11.066
"56","2022-07-11","TNHA","TNHA-BASE","1",7.41364583333333
"57","2022-07-12","TNHA","TNHA-BASE","1",2.51552083333333
"58","2022-07-13","TNHA","TNHA-BASE","1",4.0848125
"59","2022-07-14","TNHA","TNHA-BASE","1",2.68664583333333
"60","2022-07-15","TNHA","TNHA-BASE","1",2.15091666666667
"61","2022-07-16","TNHA","TNHA-BASE","1",2.79566666666667
"62","2022-07-17","TNHA","TNHA-BASE","1",2.951625
"63","2022-07-18","TNHA","TNHA-BASE","1",3.84922916666667
"64","2022-07-19","TNHA","TNHA-BASE","1",5.72510416666667
"65","2022-07-20","TNHA","TNHA-BASE","1",6.81170833333333
"66","2022-07-21","TNHA","TNHA-BASE","1",6.66433333333333
"67","2022-07-22","TNHA","TNHA-BASE","1",3.59952083333333
"68","2022-07-23","TNHA","TNHA-BASE","1",2.53252083333333
"69","2022-07-24","TNHA","TNHA-BASE","1",2.918125
"70","2022-07-25","TNHA","TNHA-BASE","1",3.54858333333333
"71","2022-07-26","TNHA","TNHA-BASE","1",1.5936875
"72","2022-07-27","TNHA","TNHA-BASE","1",1.21883333333333
"73","2022-07-28","TNHA","TNHA-BASE","1",1.26660416666667
"74","2022-07-29","TNHA","TNHA-BASE","1",2.39129166666667
"75","2022-07-30","TNHA","TNHA-BASE","1",1.36625
"76","2022-07-31","TNHA","TNHA-BASE","1",2.162375
"77","2022-08-01","TNHA","TNHA-BASE","1",1.53775
"78","2022-08-02","TNHA","TNHA-BASE","1",3.98689583333333
"79","2022-08-03","TNHA","TNHA-BASE","1",10.0039791666667
"80","2022-08-04","TNHA","TNHA-BASE","1",10.9959375
"81","2022-08-05","TNHA","TNHA-BASE","1",8.5714375
"82","2022-08-06","TNHA","TNHA-BASE","1",3.46897916666667
"83","2022-08-07","TNHA","TNHA-BASE","1",5.44977083333333
"84","2022-08-08","TNHA","TNHA-BASE","1",7.11472916666667
"85","2022-08-09","TNHA","TNHA-BASE","1",4.8774375
"86","2022-08-10","TNHA","TNHA-BASE","1",5.83720833333333
"87","2022-08-11","TNHA","TNHA-BASE","1",6.49939583333333
"88","2022-08-12","TNHA","TNHA-BASE","1",9.00841666666667
"89","2022-08-13","TNHA","TNHA-BASE","1",2.963125
"90","2022-08-14","TNHA","TNHA-BASE","1",1.91677083333333
"91","2022-08-15","TNHA","TNHA-BASE","1",2.05916666666667
"92","2022-08-16","TNHA","TNHA-BASE","1",1.73091666666667
"93","2022-08-17","TNHA","TNHA-BASE","1",2.15979166666667
"94","2022-08-18","TNHA","TNHA-BASE","1",2.60302083333333
"95","2022-08-19","TNHA","TNHA-BASE","1",1.8073125
"96","2022-08-20","TNHA","TNHA-BASE","1",0.771916666666667
"97","2022-08-21","TNHA","TNHA-BASE","1",0.708958333333333
"98","2022-08-22","TNHA","TNHA-BASE","1",0.908666666666667
"99","2022-08-23","TNHA","TNHA-BASE","1",2.23347916666667
"100","2022-08-24","TNHA","TNHA-BASE","1",5.10933333333333
"101","2022-08-25","TNHA","TNHA-BASE","1",5.352375
"102","2022-08-26","TNHA","TNHA-BASE","1",6.31666666666667
"103","2022-08-27","TNHA","TNHA-BASE","1",3.78447916666667
"104","2022-08-28","TNHA","TNHA-BASE","1",4.20766666666667
"105","2022-08-29","TNHA","TNHA-BASE","1",4.1700625
"106","2022-08-30","TNHA","TNHA-BASE","1",4.2656875
"107","2022-08-31","TNHA","TNHA-BASE","1",3.5548125
"108","2022-09-01","TNHA","TNHA-BASE","1",3.96
"109","2022-07-04","BUECI","BUECI-SB","1",3.67756756756757
"110","2022-07-05","BUECI","BUECI-SB","1",3.68166666666667
"111","2022-07-06","BUECI","BUECI-SB","1",8.175625
"112","2022-07-07","BUECI","BUECI-SB","1",6.89083333333333
"113","2022-07-08","BUECI","BUECI-SB","1",4.18770833333333
"114","2022-07-09","BUECI","BUECI-SB","1",7.17520833333333
"115","2022-07-10","BUECI","BUECI-SB","1",9.99854166666667
"116","2022-07-11","BUECI","BUECI-SB","1",7.41979166666667
"117","2022-07-12","BUECI","BUECI-SB","1",2.590625
"118","2022-07-13","BUECI","BUECI-SB","1",3.930625
"119","2022-07-14","BUECI","BUECI-SB","1",2.553125
"120","2022-07-15","BUECI","BUECI-SB","1",2.41541666666667
"121","2022-07-16","BUECI","BUECI-SB","1",3.09166666666667
"122","2022-07-17","BUECI","BUECI-SB","1",3.28708333333333
"123","2022-07-18","BUECI","BUECI-SB","1",4.15375
"124","2022-07-19","BUECI","BUECI-SB","1",5.836875
"125","2022-07-20","BUECI","BUECI-SB","1",6.92479166666667
"126","2022-07-21","BUECI","BUECI-SB","1",6.66354166666667
"127","2022-07-22","BUECI","BUECI-SB","1",3.48833333333333
"128","2022-07-23","BUECI","BUECI-SB","1",2.18270833333333
"129","2022-07-24","BUECI","BUECI-SB","1",2.826875
"130","2022-07-25","BUECI","BUECI-SB","1",3.89916666666667
"131","2022-07-26","BUECI","BUECI-SB","1",1.81666666666667
"132","2022-07-27","BUECI","BUECI-SB","1",1.29729166666667
"133","2022-07-28","BUECI","BUECI-SB","1",1.47916666666667
"134","2022-07-29","BUECI","BUECI-SB","1",2.43125
"135","2022-07-30","BUECI","BUECI-SB","1",1.03375
"136","2022-07-31","BUECI","BUECI-SB","1",1.790625
"137","2022-08-01","BUECI","BUECI-SB","1",1.4225
"138","2022-08-02","BUECI","BUECI-SB","1",4.06520833333333
"139","2022-08-03","BUECI","BUECI-SB","1",10.4016666666667
"140","2022-08-04","BUECI","BUECI-SB","1",11.7616666666667
"141","2022-08-05","BUECI","BUECI-SB","1",9.37208333333333
"142","2022-07-04","BUECI","BUECI-SD","1",21.9378125
"143","2022-07-05","BUECI","BUECI-SD","1",21.9429166666667
"144","2022-07-06","BUECI","BUECI-SD","1",22.1076923076923
"145","2022-07-07","BUECI","BUECI-SD","1",22.03
"146","2022-07-08","BUECI","BUECI-SD","1",22.04
"147","2022-07-09","BUECI","BUECI-SD","1",21.9775
"148","2022-07-10","BUECI","BUECI-SD","1",21.8428571428571
"149","2022-07-11","BUECI","BUECI-SD","1",21.8925
"150","2022-06-19","TNHA","TNHA-SA","1",3.90295138888889
"151","2022-06-20","TNHA","TNHA-SA","1",10.9862152777778
"152","2022-06-21","TNHA","TNHA-SA","1",10.7661805555556
"153","2022-06-22","TNHA","TNHA-SA","1",6.36451388888889
"154","2022-06-23","TNHA","TNHA-SA","1",6.21798611111111
"155","2022-06-24","TNHA","TNHA-SA","1",6.78597222222222
"156","2022-06-25","TNHA","TNHA-SA","1",8.45430555555556
"157","2022-06-26","TNHA","TNHA-SA","1",13.4745138888889
"158","2022-06-27","TNHA","TNHA-SA","1",13.6734722222222
"159","2022-06-28","TNHA","TNHA-SA","1",8.02555555555555
"160","2022-06-29","TNHA","TNHA-SA","1",8.99520833333333
"161","2022-06-30","TNHA","TNHA-SA","1",8.525
"162","2022-07-01","TNHA","TNHA-SA","1",8.96083333333333
"163","2022-07-02","TNHA","TNHA-SA","1",7.96583333333333
"164","2022-07-03","TNHA","TNHA-SA","1",6.60270833333333
"165","2022-07-04","TNHA","TNHA-SA","1",5.1625
"166","2022-07-05","TNHA","TNHA-SA","1",5.23208333333333
"167","2022-07-06","TNHA","TNHA-SA","1",8.61020833333333
"168","2022-07-07","TNHA","TNHA-SA","1",7.403125
"169","2022-07-08","TNHA","TNHA-SA","1",5.30104166666667
"170","2022-07-09","TNHA","TNHA-SA","1",8.08875
"171","2022-07-10","TNHA","TNHA-SA","1",11.3085416666667
"172","2022-07-11","TNHA","TNHA-SA","1",8.21479166666667
"173","2022-07-12","TNHA","TNHA-SA","1",2.73229166666667
"174","2022-07-13","TNHA","TNHA-SA","1",4.420625
"175","2022-07-14","TNHA","TNHA-SA","1",3.82270833333333
"176","2022-07-15","TNHA","TNHA-SA","1",2.635
"177","2022-07-16","TNHA","TNHA-SA","1",2.90104166666667
"178","2022-07-17","TNHA","TNHA-SA","1",3.334375
"179","2022-07-18","TNHA","TNHA-SA","1",4.52541666666667
"180","2022-07-19","TNHA","TNHA-SA","1",5.556875
"181","2022-07-20","TNHA","TNHA-SA","1",7.154375
"182","2022-07-21","TNHA","TNHA-SA","1",7.71041666666667
"183","2022-07-22","TNHA","TNHA-SA","1",4.78625
"184","2022-07-23","TNHA","TNHA-SA","1",3.05979166666667
"185","2022-07-24","TNHA","TNHA-SA","1",3.243125
"186","2022-07-25","TNHA","TNHA-SA","1",4.00916666666667
"187","2022-07-26","TNHA","TNHA-SA","1",1.79166666666667
"188","2022-07-27","TNHA","TNHA-SA","1",1.34333333333333
"189","2022-07-28","TNHA","TNHA-SA","1",1.58791666666667
"190","2022-07-29","TNHA","TNHA-SA","1",2.70916666666667
"191","2022-07-30","TNHA","TNHA-SA","1",1.9625
"192","2022-07-31","TNHA","TNHA-SA","1",2.178125
"193","2022-08-01","TNHA","TNHA-SA","1",2.149375
"194","2022-08-02","TNHA","TNHA-SA","1",4.18958333333333
"195","2022-08-03","TNHA","TNHA-SA","1",9.85375
"196","2022-08-04","TNHA","TNHA-SA","1",10.6227083333333
"197","2022-08-05","TNHA","TNHA-SA","1",8.670625
"198","2022-08-06","TNHA","TNHA-SA","1",3.718125
"199","2022-08-07","TNHA","TNHA-SA","1",5.74645833333333
"200","2022-08-08","TNHA","TNHA-SA","1",7.53416666666667
"201","2022-08-09","TNHA","TNHA-SA","1",5.14
"202","2022-08-10","TNHA","TNHA-SA","1",5.834375
"203","2022-08-11","TNHA","TNHA-SA","1",6.47916666666667
"204","2022-08-12","TNHA","TNHA-SA","1",8.95958333333333
"205","2022-08-13","TNHA","TNHA-SA","1",3.30375
"206","2022-08-14","TNHA","TNHA-SA","1",2.45520833333333
"207","2022-08-15","TNHA","TNHA-SA","1",2.273125
"208","2022-08-16","TNHA","TNHA-SA","1",1.92458333333333
"209","2022-08-17","TNHA","TNHA-SA","1",2.50020833333333
"210","2022-08-18","TNHA","TNHA-SA","1",2.736875
"211","2022-08-19","TNHA","TNHA-SA","1",2.090625
"212","2022-08-20","TNHA","TNHA-SA","1",1.42791666666667
"213","2022-08-21","TNHA","TNHA-SA","1",1.36041666666667
"214","2022-08-22","TNHA","TNHA-SA","1",1.23270833333333
"215","2022-08-23","TNHA","TNHA-SA","1",2.3775
"216","2022-08-24","TNHA","TNHA-SA","1",5.19666666666667
"217","2022-08-25","TNHA","TNHA-SA","1",5.73833333333333
"218","2022-08-26","TNHA","TNHA-SA","1",6.73916666666667
"219","2022-08-27","TNHA","TNHA-SA","1",3.98541666666667
"220","2022-08-28","TNHA","TNHA-SA","1",4.27708333333333
"221","2022-08-29","TNHA","TNHA-SA","1",4.47520833333333
"222","2022-08-30","TNHA","TNHA-SA","1",4.59416666666667
"223","2022-08-31","TNHA","TNHA-SA","1",3.87125
"224","2022-09-01","TNHA","TNHA-SA","1",4.5
"225","2022-06-19","SSMH","SSMH-BASE","1",1.72826041666667
"226","2022-06-20","SSMH","SSMH-BASE","1",10.7649895833333
"227","2022-06-21","SSMH","SSMH-BASE","1",8.80901736111111
"228","2022-06-22","SSMH","SSMH-BASE","1",5.80003472222222
"229","2022-06-23","SSMH","SSMH-BASE","1",6.02040277777778
"230","2022-06-24","SSMH","SSMH-BASE","1",6.40530555555556
"231","2022-06-25","SSMH","SSMH-BASE","1",8.56889236111111
"232","2022-06-26","SSMH","SSMH-BASE","1",13.4017291666667
"233","2022-06-27","SSMH","SSMH-BASE","1",13.2541805555556
"234","2022-06-28","SSMH","SSMH-BASE","1",7.65628472222222
"235","2022-06-29","SSMH","SSMH-BASE","1",8.51173958333333
"236","2022-06-30","SSMH","SSMH-BASE","1",8.90665789473684
"237","2022-07-01","SSMH","SSMH-BASE","1",8.498625
"238","2022-07-02","SSMH","SSMH-BASE","1",6.0486875
"239","2022-07-03","SSMH","SSMH-BASE","1",4.96914583333333
"240","2022-07-04","SSMH","SSMH-BASE","1",4.04408333333333
"241","2022-07-05","SSMH","SSMH-BASE","1",4.33902083333333
"242","2022-07-06","SSMH","SSMH-BASE","1",8.29527083333333
"243","2022-07-07","SSMH","SSMH-BASE","1",6.52802083333333
"244","2022-07-08","SSMH","SSMH-BASE","1",4.24525
"245","2022-07-09","SSMH","SSMH-BASE","1",6.22595833333333
"246","2022-07-10","SSMH","SSMH-BASE","1",9.57047916666667
"247","2022-07-11","SSMH","SSMH-BASE","1",6.92889583333333
"248","2022-07-12","SSMH","SSMH-BASE","1",2.76389583333333
"249","2022-07-13","SSMH","SSMH-BASE","1",3.9668125
"250","2022-07-14","SSMH","SSMH-BASE","1",2.88147916666667
"251","2022-07-15","SSMH","SSMH-BASE","1",1.98195833333333
"252","2022-07-16","SSMH","SSMH-BASE","1",2.73177083333333
"253","2022-07-17","SSMH","SSMH-BASE","1",2.712125
"254","2022-07-18","SSMH","SSMH-BASE","1",3.56779166666667
"255","2022-07-19","SSMH","SSMH-BASE","1",5.73091666666667
"256","2022-07-20","SSMH","SSMH-BASE","1",6.5709375
"257","2022-07-21","SSMH","SSMH-BASE","1",6.33629166666667
"258","2022-07-22","SSMH","SSMH-BASE","1",3.18666666666667
"259","2022-07-23","SSMH","SSMH-BASE","1",2.41316666666667
"260","2022-07-24","SSMH","SSMH-BASE","1",2.9078125
"261","2022-07-25","SSMH","SSMH-BASE","1",3.38454166666667
"262","2022-07-26","SSMH","SSMH-BASE","1",1.27741666666667
"263","2022-07-27","SSMH","SSMH-BASE","1",1.36397916666667
"264","2022-07-28","SSMH","SSMH-BASE","1",1.44039583333333
"265","2022-07-29","SSMH","SSMH-BASE","1",2.37435416666667
"266","2022-07-30","SSMH","SSMH-BASE","1",1.25539583333333
"267","2022-07-31","SSMH","SSMH-BASE","1",2.17102083333333
"268","2022-08-01","SSMH","SSMH-BASE","1",1.3385
"269","2022-08-02","SSMH","SSMH-BASE","1",3.75629166666667
"270","2022-08-03","SSMH","SSMH-BASE","1",9.65497916666667
"271","2022-08-04","SSMH","SSMH-BASE","1",10.7443958333333
"272","2022-08-05","SSMH","SSMH-BASE","1",8.16975
"273","2022-08-06","SSMH","SSMH-BASE","1",3.7049375
"274","2022-08-07","SSMH","SSMH-BASE","1",5.4235
"275","2022-08-08","SSMH","SSMH-BASE","1",7.07720833333333
"276","2022-08-09","SSMH","SSMH-BASE","1",4.98777083333333
"277","2022-08-10","SSMH","SSMH-BASE","1",5.96283333333333
"278","2022-08-11","SSMH","SSMH-BASE","1",6.69064583333333
"279","2022-08-12","SSMH","SSMH-BASE","1",9.04764583333333
"280","2022-08-13","SSMH","SSMH-BASE","1",3.26029166666667
"281","2022-08-14","SSMH","SSMH-BASE","1",2.04229166666667
"282","2022-08-15","SSMH","SSMH-BASE","1",1.80233333333333
"283","2022-08-16","SSMH","SSMH-BASE","1",1.48595833333333
"284","2022-08-17","SSMH","SSMH-BASE","1",2.0230625
"285","2022-08-18","SSMH","SSMH-BASE","1",2.43772916666667
"286","2022-08-19","SSMH","SSMH-BASE","1",1.67495833333333
"287","2022-08-20","SSMH","SSMH-BASE","1",0.6580625
"288","2022-08-21","SSMH","SSMH-BASE","1",0.44275
"289","2022-08-22","SSMH","SSMH-BASE","1",0.817520833333333
"290","2022-08-23","SSMH","SSMH-BASE","1",2.1531875
"291","2022-08-24","SSMH","SSMH-BASE","1",4.70720833333333
"292","2022-08-25","SSMH","SSMH-BASE","1",5.2134375
"293","2022-08-26","SSMH","SSMH-BASE","1",6.13710416666667
"294","2022-08-27","SSMH","SSMH-BASE","1",4.1611875
"295","2022-08-28","SSMH","SSMH-BASE","1",4.2688125
"296","2022-08-29","SSMH","SSMH-BASE","1",4.02758333333333
"297","2022-08-30","SSMH","SSMH-BASE","1",4.20629166666667
"298","2022-08-31","SSMH","SSMH-BASE","1",3.47339583333333
"299","2022-09-01","SSMH","SSMH-BASE","1",4.067
"300","2022-07-04","BUECI","BUECI-BASE","1",3.43576315789474
"301","2022-07-05","BUECI","BUECI-BASE","1",3.3055
"302","2022-07-06","BUECI","BUECI-BASE","1",7.346625
"303","2022-07-07","BUECI","BUECI-BASE","1",6.65535416666667
"304","2022-07-08","BUECI","BUECI-BASE","1",3.9024375
"305","2022-07-09","BUECI","BUECI-BASE","1",6.92127083333333
"306","2022-07-10","BUECI","BUECI-BASE","1",9.4941875
"307","2022-07-11","BUECI","BUECI-BASE","1",6.43060416666667
"308","2022-07-12","BUECI","BUECI-BASE","1",2.22329166666667
"309","2022-07-13","BUECI","BUECI-BASE","1",3.0999375
"310","2022-07-14","BUECI","BUECI-BASE","1",1.44352083333333
"311","2022-07-15","BUECI","BUECI-BASE","1",1.4463125
"312","2022-07-16","BUECI","BUECI-BASE","1",2.36985416666667
"313","2022-07-17","BUECI","BUECI-BASE","1",3.0074375
"314","2022-07-18","BUECI","BUECI-BASE","1",3.779125
"315","2022-07-19","BUECI","BUECI-BASE","1",5.27914583333333
"316","2022-07-20","BUECI","BUECI-BASE","1",6.6356875
"317","2022-07-21","BUECI","BUECI-BASE","1",6.21708333333333
"318","2022-07-22","BUECI","BUECI-BASE","1",3.35010416666667
"319","2022-07-23","BUECI","BUECI-BASE","1",2.14908333333333
"320","2022-07-24","BUECI","BUECI-BASE","1",2.67989583333333
"321","2022-07-25","BUECI","BUECI-BASE","1",3.54902083333333
"322","2022-07-26","BUECI","BUECI-BASE","1",1.71614583333333
"323","2022-07-27","BUECI","BUECI-BASE","1",0.882729166666667
"324","2022-07-28","BUECI","BUECI-BASE","1",0.9690625
"325","2022-07-29","BUECI","BUECI-BASE","1",1.92791666666667
"326","2022-07-30","BUECI","BUECI-BASE","1",0.845208333333333
"327","2022-07-31","BUECI","BUECI-BASE","1",1.42970833333333
"328","2022-08-01","BUECI","BUECI-BASE","1",-30.7404166666667
"329","2022-08-02","BUECI","BUECI-BASE","1",-46.85
"330","2022-08-03","BUECI","BUECI-BASE","1",-46.85
"331","2022-08-04","BUECI","BUECI-BASE","1",-46.85
"332","2022-08-05","BUECI","BUECI-BASE","1",-46.85
"333","2022-07-04","BEO","BEO-BASE","1",3.38042105263158
"334","2022-07-05","BEO","BEO-BASE","1",3.87379166666667
"335","2022-07-06","BEO","BEO-BASE","1",8.01595833333333
"336","2022-07-07","BEO","BEO-BASE","1",6.04054166666667
"337","2022-07-08","BEO","BEO-BASE","1",3.73620833333333
"338","2022-07-09","BEO","BEO-BASE","1",6.2724375
"339","2022-07-10","BEO","BEO-BASE","1",9.46104166666667
"340","2022-07-11","BEO","BEO-BASE","1",7.05795833333333
"341","2022-07-12","BEO","BEO-BASE","1",2.1365625
"342","2022-07-13","BEO","BEO-BASE","1",3.2948125
"343","2022-07-14","BEO","BEO-BASE","1",1.83589583333333
"344","2022-07-15","BEO","BEO-BASE","1",1.4059375
"345","2022-07-16","BEO","BEO-BASE","1",2.23620833333333
"346","2022-07-17","BEO","BEO-BASE","1",2.58125
"347","2022-07-18","BEO","BEO-BASE","1",3.5105625
"348","2022-07-19","BEO","BEO-BASE","1",4.78585416666667
"349","2022-07-20","BEO","BEO-BASE","1",5.96729166666667
"350","2022-07-21","BEO","BEO-BASE","1",6.09816666666667
"351","2022-07-22","BEO","BEO-BASE","1",3.15272916666667
"352","2022-07-23","BEO","BEO-BASE","1",2.25583333333333
"353","2022-07-24","BEO","BEO-BASE","1",2.76714583333333
"354","2022-07-25","BEO","BEO-BASE","1",3.38860416666667
"355","2022-07-26","BEO","BEO-BASE","1",1.27777083333333
"356","2022-07-27","BEO","BEO-BASE","1",0.995354166666667
"357","2022-07-28","BEO","BEO-BASE","1",1.12229166666667
"358","2022-07-29","BEO","BEO-BASE","1",2.052625
"359","2022-07-30","BEO","BEO-BASE","1",1.2085
"360","2022-07-31","BEO","BEO-BASE","1",1.37875
"361","2022-08-01","BEO","BEO-BASE","1",1.37522916666667
"362","2022-08-02","BEO","BEO-BASE","1",3.78408333333333
"363","2022-08-03","BEO","BEO-BASE","1",9.91060416666667
"364","2022-08-04","BEO","BEO-BASE","1",11.113375
"365","2022-08-05","BEO","BEO-BASE","1",8.6016875
"366","2022-08-06","BEO","BEO-BASE","1",2.97297916666667
"367","2022-08-07","BEO","BEO-BASE","1",4.8573125
"368","2022-08-08","BEO","BEO-BASE","1",6.612
"369","2022-08-09","BEO","BEO-BASE","1",4.53825
"370","2022-08-10","BEO","BEO-BASE","1",5.75095833333333
"371","2022-08-11","BEO","BEO-BASE","1",6.60314583333333
"372","2022-08-12","BEO","BEO-BASE","1",9.26627083333333
"373","2022-08-13","BEO","BEO-BASE","1",2.132625
"374","2022-08-14","BEO","BEO-BASE","1",1.44045833333333
"375","2022-08-15","BEO","BEO-BASE","1",1.81347916666667
"376","2022-08-16","BEO","BEO-BASE","1",1.50122916666667
"377","2022-08-17","BEO","BEO-BASE","1",1.97133333333333
"378","2022-08-18","BEO","BEO-BASE","1",2.34564583333333
"379","2022-08-19","BEO","BEO-BASE","1",1.93145833333333
"380","2022-08-20","BEO","BEO-BASE","1",0.553
"381","2022-08-21","BEO","BEO-BASE","1",0.5025
"382","2022-08-22","BEO","BEO-BASE","1",0.807708333333333
"383","2022-08-23","BEO","BEO-BASE","1",2.15041666666667
"384","2022-08-24","BEO","BEO-BASE","1",5.21577083333333
"385","2022-08-25","BEO","BEO-BASE","1",5.34660416666667
"386","2022-08-26","BEO","BEO-BASE","1",6.48566666666667
"387","2022-08-27","BEO","BEO-BASE","1",3.71614583333333
"388","2022-08-28","BEO","BEO-BASE","1",3.57002083333333
"389","2022-08-29","BEO","BEO-BASE","1",3.8175625
"390","2022-08-30","BEO","BEO-BASE","1",4.03245833333333
"391","2022-08-31","BEO","BEO-BASE","1",3.49804166666667
"392","2022-09-01","BEO","BEO-BASE","1",4.089
"393","2022-07-04","BUECI","21398660","1",4.51891891891892
"394","2022-07-05","BUECI","21398660","1",4.630625
"395","2022-07-06","BUECI","21398660","1",7.95041666666667
"396","2022-07-07","BUECI","21398660","1",7.36
"397","2022-07-08","BUECI","21398660","1",4.92666666666667
"398","2022-07-09","BUECI","21398660","1",7.59145833333333
"399","2022-07-10","BUECI","21398660","1",10.524375
"400","2022-07-11","BUECI","21398660","1",6.81875
"401","2022-07-12","BUECI","21398660","1",2.83166666666667
"402","2022-07-13","BUECI","21398660","1",3.9475
"403","2022-07-14","BUECI","21398660","1",2.62375
"404","2022-07-15","BUECI","21398660","1",2.31708333333333
"405","2022-07-16","BUECI","21398660","1",2.63729166666667
"406","2022-07-17","BUECI","21398660","1",3.6975
"407","2022-07-18","BUECI","21398660","1",4.514375
"408","2022-07-19","BUECI","21398660","1",5.46666666666667
"409","2022-07-20","BUECI","21398660","1",6.96229166666667
"410","2022-07-21","BUECI","21398660","1",7.5
"411","2022-07-22","BUECI","21398660","1",4.63083333333333
"412","2022-07-23","BUECI","21398660","1",3.393125
"413","2022-07-24","BUECI","21398660","1",3.57395833333333
"414","2022-07-25","BUECI","21398660","1",4.26145833333333
"415","2022-07-26","BUECI","21398660","1",2.289375
"416","2022-07-27","BUECI","21398660","1",1.029375
"417","2022-07-28","BUECI","21398660","1",1.109375
"418","2022-07-29","BUECI","21398660","1",2.04979166666667
"419","2022-07-30","BUECI","21398660","1",1.73708333333333
"420","2022-07-31","BUECI","21398660","1",2.083125
"421","2022-08-01","BUECI","21398660","1",2.20145833333333
"422","2022-08-02","BUECI","21398660","1",4.15895833333333
"423","2022-08-03","BUECI","21398660","1",9.88354166666667
"424","2022-08-04","BUECI","21398660","1",10.5135416666667
"425","2022-08-05","BUECI","21398660","1",9.54
"426","2022-06-19","SSMH","SSMH-??","1",2.84284722222222
"427","2022-06-20","SSMH","SSMH-??","1",10.2433680555556
"428","2022-06-21","SSMH","SSMH-??","1",9.59399305555556
"429","2022-06-22","SSMH","SSMH-??","1",5.64083333333333
"430","2022-06-23","SSMH","SSMH-??","1",5.62190972222222
"431","2022-06-24","SSMH","SSMH-??","1",6.24697916666667
"432","2022-06-25","SSMH","SSMH-??","1",8.12097222222222
"433","2022-06-26","SSMH","SSMH-??","1",12.1122222222222
"434","2022-06-27","SSMH","SSMH-??","1",12.4235416666667
"435","2022-06-28","SSMH","SSMH-??","1",7.15003472222222
"436","2022-06-29","SSMH","SSMH-??","1",8.2565625
